Eng,Chi
Phoebe Man,文晶瑩
Chan Wai Wah,陳偉華
Chung Ho-yuen,鍾浩元
Fong Tsz-leong,方梓亮
Lau Chun-kit,劉峻傑
Law Hoi-lok,羅凱樂
Liu Siu-him,廖肇謙
Clement Tse Ming-shing,謝銘晟
Joe Wong Nai-yuen,黃迺元
Yiu Chun-wa,姚俊華
Local artists,英國藝術家 Jane Rhodes 與香港畫家李麗芬和高冠雲
Susan Ko and Miss Lai-fun Li are joined by visiting British,
artist,
Jane Rhodes,
Alec Monopoly,
Eugenia Grandchamp,
Fiona Wong,黃麗貞
JR Art Studio's Student,卓爾畫室學生
,羅文樂
,劉學成
,區家耀
,吳家俊
,黃思珩
,盧潔瑩
,鍾惠恩
,陳正文
,何遠良
,陳佩玲
,Hyzuii
,Edwood YUNG
,張嘉莉＠C&G
John McArthur,
Xing Chengai,邢誠愛
Jessica Cheung,張慧君
Nguyen Dinh Vu,
Gao Qian,
Hang Chunhui,
Hao Liang,
Huang Dan,
Liu Qi,
Ma Jun,
Ni Youyu,
Peng Jian,
Peng Wei,
Pan Wenxun,
Qin Xiuping,
Xiao Xu,
Xu Hualing,
Zeng Guoqing and Zhang Yanzi,
Technological and Higher Education Institute of Hong Kong(THEi) design students,
Takashi Murakami,
Halley Cheng,
Stephen Wong and Nina Pryde,
(Hong Kong) Sunday LAI,（香港）黎朗生
Joel LAM,林健雄
Lock LO Chi Kit,羅至傑
LEUNG Mee Ping,梁美萍
TSE Chun Sing,謝振聲
SO Wai Lam,蘇瑋琳
LAW Yuk Mui,羅玉梅；（新加坡） 李嘉昇；（印度孟買）Hema UPADHYAY
(Singapore) Jason LEE,Reena Saini KALLAT
(Mumbai,Pradeep L. MISHRA
India) Hema UPADHYAY,
Reena Saini KALLAT,
Pradeep L. MISHRA,
Li Jin,李津
Song Yong Hong,宋永紅
Tiana Wong,天藍
Chu Fun,朱薰
Pak Sheung Chuen,白雙全
Roy Tsui,林日曦
Joey Leung,梁祖彝
Thickest Choi,蔡志厚
Wong Hiu Fung Apple,黃曉楓
Montagut Chuen,夢特嬌全
Hong Kong Wrapper,香港花紙
Bu,Bu
Serrini,Serrini
Ricky Lai,Ricky Lai
fungtaitau,fungtaitau
Southpolep,Southpolep
Dirty Paper,Dirty Paper
Graphic Airlines,Graphic Airlines
Showroom@New Youth Barber Shop,Showroom@新青年理髮廳
Otto Schade,
Ko Sing,高聲
Tobias Spierenburg,
Tay Bak Chiang,
Sin Ho Yeung,冼澔楊
Simon Yung,
,鄒傳安
