Eng,Chi
蕭友梅,蕭友梅
問(黃友棣編合唱),問(黃友棣編合唱)
萬建平,萬建平
林聲翕,林聲翕
劉建一,劉建一
何年何日再相逢(長河編合唱),何年何日再相逢(長河編合唱)
黃晶晶,黃晶晶
Fung Lam,林丰
Quintessence (world premiere,蘊(世界首演，港樂委約)
HK Phil commission),
Jaap van Zweden,梵志登
Boris Berezovsky,比拉索夫斯基
Faust,浮士德
Warren Mok,莫華倫
Paul-Emile Fourny,佛爾尼
Jacques Chatelet,夏列特
Benjamin Pionnier,琵安理亞
Shawn Mathey (10 May),萊賀(10 May)
Dimitry Ivashchenko,伊華舒臣戈
Tatiana Lisnic (9 & 11 May),利絲妮克(9 & 11 May)
Kimy Mc Laren (10 May),蕭恩馬席(10 May)
Zhou Zhengzhong,周正中
Sammy Chien,錢深銘
Aurhelia Varak (9 & 11 May),娃拉克(9 & 11 May)
Carol Lin (10 May),連皓忻(10 May)
Samantha Chong,張吟晶
Zhao Jiping,趙季平
Celebration Overture,慶典序曲
Xia Feiyun,夏飛雲
Wen Zhenfa,翁鎮發
As the Moon Rises (Ancient Tune,月兒高（古曲，彭修文編曲）
Arr. by Peng Xiuwen),
Zuo Yiwei,左翼偉
Zhang Chongxue,張重雪
The Murmuring Brook (Arr. by Chen Dawei),小河淌水（雲南民歌，陳大偉編曲）
A. Vivaldi,A. Vivaldi
Sally Martin,Sally Martin
Nulla in mundo pax sincera,Nulla in mundo pax sincera
Yen Yen Ng,Yen Yen Ng
P. Viardot,P. Viardot
Ingrid Chan,Ingrid Chan
Fleur Desséchée,Fleur Desséchée
漸快的涼風,漸快的涼風
洪俊銘,洪俊銘
Bach,Bach
Angela Hewitt,休伊特
BWV 808,BWV 808
Horovitz,Beethoven
Linus Fung,Linus Fung
Gladys Wong,Gladys Wong
Florence Lam,Florence Lam
Yeung Ho Lun,Yeung Ho Lun
Clarinet Sonata,Clarinet Trio
Chan Hok Lai Tony,Chan Hok Lai Tony
Felix Yeung,Felix Yeung
Beethoven,Borodin
Camille Poon,Camille Poon
Ken Li,Ken Li
Chan Wai Bun,Chan Wai Bun
Borodin,Howells
Cheng Yan Ho,Cheng Yan Ho
Chor Kai Hei,Chor Kai Hei
III (arranged by So Ka Wai),
張金茅,張金茅
奔馳在千里草原,奔馳在千里草原
Lau Fok-kwong,劉福光
Li Tung-yat,李統一
Wong Pui-chu,黃佩珠
Lo Shau-chun,盧秀俊
Hui Din-fung,許典峰
Wong Shek-yuk,王錫玉
Tang Siu-cheong,鄧紹昌
Hui Chun-lit,許振烈
Chan Yim-pau,陳炎豹
Hui Hon-kei,許漢奇
Li Ying-wai,李英尉
