Eng,Chi
Alberto Nose,羅拔力士
Chopin,蕭邦
萬建平,萬建平
劉建一,劉建一
黃晶晶,黃晶晶
蕭友梅,蕭友梅
問(黃友棣編合唱),問(黃友棣編合唱)
林聲翕,林聲翕
何年何日再相逢(長河編合唱),何年何日再相逢(長河編合唱)
望雲(長河編合唱),望雲(長河編合唱)
黃友棣,黃友棣
黑霧,黑霧
杜鵑花,杜鵑花
白雲故鄉,白雲故鄉
嘎達梅林(蒙古族民歌),嘎達梅林(蒙古族民歌)
路(長河編合唱),路(長河編合唱)
野火(長河編合唱),野火(長河編合唱)
茶山姑娘歌聲朗(福建,茶山姑娘歌聲朗(福建
台灣民歌,台灣民歌
黄友棣編合唱),黄友棣編合唱)
笑之歌,笑之歌
色．恩克巴雅爾,色．恩克巴雅爾
歡樂的那達慕,歡樂的那達慕
諾恩吉婭(蒙古族民歌,諾恩吉婭(蒙古族民歌
永儒布編合唱),永儒布編合唱)
四季(蒙古族民歌,四季(蒙古族民歌
永儒布編合唱,永儒布編合唱
譯詞),譯詞)
牧歌(東蒙民歌,牧歌(東蒙民歌
瞿希賢編合唱),瞿希賢編合唱)
天上的風(蒙古族民歌),天上的風(蒙古族民歌)
恩克巴雅爾,恩克巴雅爾
八駿贊,八駿贊
四海(蒙古族民歌,四海(蒙古族民歌
阿拉騰奧勒,阿拉騰奧勒
美麗的草原我的家,美麗的草原我的家
趙元任,趙元任
教我如何不想他(黄友棣編合唱),教我如何不想他(黄友棣編合唱)
Jaap van Zweden,梵志登
Boris Berezovsky,比拉索夫斯基
Fung Lam,林丰
Quintessence (world premiere,蘊(世界首演
HK Phil commission),港樂委約)
Rachmaninov,拉赫曼尼諾夫
Berlioz,白遼士
Warren Mok,莫華倫
Paul-Emile Fourny,佛爾尼
Poppi Ranchetti,嵐凱迪
Jacques Chatelet,夏列特
Stefan Pop (9 &11 May),波普(9 & 11 May)
Shawn Mathey (10 May),萊賀(10 May)
Dimitry Ivashchenko,伊華舒臣戈
