Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,ADC_Remarks_deleted,ADC_Remarks,ADC_Remarks_date,new_Remarks,duration_of_exhibition,,,,exh_venue,site_count (new),site_count_B,OLD_actual_days,published_permanent_count/常設展,published_Days/年度展期天,exh_to_count/統計數量,non_duplicated_date_count,new_Days/年度展期天,,,Remarks,Remarks,Reference link,indoor/outdoor/both
0708,07080703,,0,Local,本地,,,Flagstaff House Museum of Tea Ware,茶具文物館,,,MU,Flagstaff House Museum of Tea Ware,Ceramics,陶藝,n.a.,n.a.,Chinese Tea Drinking (Permanent Exhibition),中國茗趣 (常設展),中國茗趣,n.a.,n.a.,9999,2015/11/30,9999,9999,1 ,The Leisure and Cultural Services Department,康樂及文化事務署,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,32340 ,,,,,,start date originally unknown; 常設展覽http://www.lcsd.gov.hk/CE/Museum/Arts/zh_TW/web/ma/mt-permanent-exhibition.html,,,1,1,,,,#VALUE!,0 ,365 ,1 ,275 ,1 ,1 ,0 ,,,NA,,,indoor
0809,08091451,,0,Local,本地,,,Hong Kong Museum of Art,香港藝術館,,,MU,Hong Kong Museum of Art,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,New Literati Painting,新文人畫,新文人畫,n.a.,n.a.,2009/03/20,2010/02/28,2009 ,3 ,0 ,Hong Kong Museum of Art,香港藝術館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a., , ,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,346 ,,,,,,,,,1,3,,,,#VALUE!,0 ,346 ,0 ,12 ,1 ,1 ,354 ,,,NA,,,indoor
0809,08091500,,0,Local,本地,,,Museum of Tea Ware,茶具文物館,,,MU,Flagstaff House Museum of Tea Ware,Ceramics,陶藝,n.a.,n.a.,Chinese Tea Drinking (Permanent Exhibition),中國茗趣 (常設展),中國茗趣,n.a.,n.a.,9999,2015/11/30,9999,9999,1 ,茶具文物館,茶具文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,32340 ,,,,,,start date originally unknown; 常設展覽http://www.lcsd.gov.hk/CE/Museum/Arts/zh_TW/web/ma/mt-permanent-exhibition.html,,,1,7,,,,#VALUE!,0 ,365 ,1 ,365 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09100388,,0,Local,本地,,,"G/F, Lobby of Hong Kong Arts Centre ",香港藝術中心地下大堂,,,HKAC,public,Sculpture,雕塑,n.a.,n.a.,City . Landscape,《都市．風景》,《都市．風景》,n.a.,n.a.,2009/07/01,2010/03/31,2009 ,7 ,0 ,Hong Kong Art Centre; Public Art Hong Kong,香港藝術中心、香港公共藝術 ,n.a.,n.a.,n.a.,n.a.,Danny Lee,李展輝,,,1 ,1 ,4 ,88 ,,,0 ,1 ,,,1 ,,274 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,6,,,,#VALUE!,0 ,274 ,0 ,274 ,1 ,1 ,92 ,,,NA,,,indoor
0910,09100389a,,1,Local,本地,,,Hong Kong Arts Centre Atrium,香港藝術中心中庭,,,HKAC,Atrium,Sculpture,雕塑,n.a.,n.a.,Towards a Brighter Future Through the Valley Of Darkness,《為了光明前程必須經歷的黑暗》 ,為了光明前程必須經歷的黑暗,n.a.,n.a.,2009/07/01,2010/05/31,2009 ,7 ,0 ,Hong Kong Art Centre; Public Art Hong Kong,香港藝術中心、香港公共藝術 ,n.a.,n.a.,n.a.,n.a.,Kacey Wong,黃國才,Fully Supported by: Against Child Abuse Ltd.,全力支持︰防止虐待兒童會有限公司,1 ,1 ,4 ,88 ,,,0 ,1 ,,,1 ,,335 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,6,,,,#VALUE!,0 ,335 ,0 ,274 ,1 ,1 ,92 ,,,NA,,,indoor
0910,09100389b,,1,Local,本地 ,,,"G/F, Lobby of Hong Kong Arts Centre",香港藝術中心中庭,,,HKAC,public,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,Towards a Brighter Future Through the Valley Of Darkness,為了光明前程必須經歷的黑暗,為了光明前程必須經歷的黑暗,n.a.,n.a.,2009/01/07,9999,2009 ,1 ,99 ,"Hong Kong Arts Centre, Public Art Hong Kong",香港藝術中心、香港公共藝術,Cultural and Leisure Services Committee of Wan Chai District Council,灣仔區議會屬下文化及康體事務委員會,n.a.,n.a.,Kacey Wong,黃國才,Fully Supported by: Against Child Abuse Ltd.,全力支持︰防止虐待兒童會有限公司,0 ,1 ,4 ,88 ,,,1 ,1 ,,,1 ,,(29820),,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,#VALUE!,99 ,9999 ,0 ,1 ,0 ,,,NA,,,indoor
0910,09100436a,,1,Local,本地,,,Artist Commune,藝術公社,,,ART,Artist Commune,Mixed Art-forms,綜合展,n.a.,n.a.,Homage to Ha Bik-chuen: Art of an Eternal Spring,藝泉凝碧 - 向夏碧泉致敬,藝泉凝碧 - 向夏碧泉致敬,n.a.,n.a.,2009/11/07,2009/12/02,2009 ,11 ,0 ,Hong Kong Museum of Art; Hong Kong Sculpture Society; Artist Commune,香港藝術館、香港雕塑學會、藝術公社,n.a.,n.a.,n.a.,n.a.,"Ha Bik Chuen; Chan Kwok Man, Chan Kwong Wah, Cheung Chi Ping, Chow Shun Keung, Chu Hing Wah, Chu Tat Shing, Patrick Ford, Fung Lik Yan, Ho Yuen Leung, Celia Ko, Kum Chi Keung, Kwok Mang Ho, Lam Laam, Lam Tung Pang, Lam Yuk Lin, Leung Kui Ting, Li Wei Han,",夏碧泉、陳國文、陳廣華、張志平、周順強、朱興華、朱達誠、霍爾德、馮力仁、何遠良、高天恩、甘志強、郭孟浩、林嵐、林東鵬、林玉蓮、梁巨廷、李慧嫻、梁以瑚 、文鳳儀、莫一新、吳金眉、施德燕、高學長、曾章成,,藝術公社展出夏碧泉遺作及本地藝術家的回應作品。香港藝術館則展出夏碧泉遺作，包括版畫、雕塑,1 ,1 ,5 ,6 ,,,1 ,1 ,,,1 ,,26 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,26 ,0 ,26 ,1 ,1 ,221 ,,,NA,,,indoor
0910,09100436b,,1,Local,本地,,,Hong Kong Museum of Art,香港藝術館,,,MU,Hong Kong Museum of Art,Mixed Art-forms,綜合展,n.a.,n.a.,Homage to Ha Bik-chuen: Art of an Eternal Spring,藝泉凝碧 - 向夏碧泉致敬,藝泉凝碧 - 向夏碧泉致敬,n.a.,n.a.,2009/11/07,2010/01/24,2009 ,11 ,0 ,Hong Kong Museum of Art; Hong Kong Sculpture Society; Artist Commune,香港藝術館、香港雕塑學會、藝術公社,n.a.,n.a.,n.a.,n.a.,"Ha Bik Chuen; Chan Kwok Man, Chan Kwong Wah, Cheung Chi Ping, Chow Shun Keung, Chu Hing Wah, Chu Tat Shing, Patrick Ford, Fung Lik Yan, Ho Yuen Leung, Celia Ko, Kum Chi Keung, Kwok Mang Ho, Lam Laam, Lam Tung Pang, Lam Yuk Lin, Leung Kui Ting, Li Wei Han,",夏碧泉、陳國文、陳廣華、張志平、周順強、朱興華、朱達誠、霍爾德、馮力仁、何遠良、高天恩、甘志強、郭孟浩、林嵐、林東鵬、林玉蓮、梁巨廷、李慧嫻、梁以瑚 、文鳳儀、莫一新、吳金眉、施德燕、高學長、曾章成,,藝術公社展出夏碧泉遺作及本地藝術家的回應作品。香港藝術館則展出夏碧泉遺作，包括版畫、雕塑,0 ,1 ,1 ,88 ,,,1 ,1 ,,,1 ,,79 ,,,,,,"started date was originally marked as 2009 Jul 11, amended as 2009 Nov 7, and the ended date updated as 2010 Jan 24. info provided from http://www.lcsd.gov.hk/ce/Museum/Arts/zh_TW/web/ma/exhibition1991.html?pt=3 ；""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,4,,,,#VALUE!,0 ,79 ,0 ,79 ,0 ,1 ,221 ,,,NA,,,indoor
0910,09100476b,,1,Local,本地 ,,,Cultural Centre Foyer Exhibition Area,香港文化中心大堂展覽場地,,,PA,Cultural Centre Foyer Exhibition Areas,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,Wat Shui Kwong Chinese Painting Exhibition,屈瑞光中國書畫展覽,屈瑞光中國書畫展覽,n.a.,n.a.,2010/03/13,9999,2010 ,3 ,99 ,Mei Kwong Arts Association,美光藝舍,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,0 ,1 ,1 ,88 ,,,0 ,0 ,,,0 ,,(30250),,,,,NOT COUNT=>keep,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,#VALUE!,99 ,9999 ,0 ,0 ,347 ,,,NA,,,indoor
0910,09100481a,,1,Non-local,非本地,,,iPRECIATION,新加坡誰先覺,,,777 ,777 ,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Spirit of the Sky and Land - Art works Exhibition by Wucius Wong,天地情 ── 王無邪作品展,天地情 ── 王無邪作品展,n.a.,n.a.,2009/07/25,2009/08/15,2009 ,7 ,0 ,iPRECIATION; Civic and Municipal Affairs Bureau,誰先覺畫廊、澳門民政總署,n.a.,n.a.,n.a.,n.a.,Wucius Wong,王無邪,,,1 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,22 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,22 ,0 ,22 ,777 ,777 ,116 ,,,NA,,,indoor
