Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,,,,,,,,,,,,,,,,,,,,,,Remarks,Remarks,Reference link,indoor/outdoor/both
1415,14150001,.,0,Local,本地,.,.,"Artland Gallery, 3/F Lockhart Centre, 301-307 Lockhart Road, Wanchai, H.K.",香港灣仔洛克道301-307號洛克中心三樓藝林畫廊,,,BUSS,Artland Gallery,Mixed Art-Forms,綜合展,88,88,.,.,n.a,n.a,n.a,07/06/2014,19/06/2014,2014,6,0,HK & Kln Chiu Chow Public Association Secondary School,港九潮州公會中學,.,.,.,.,.,.,.,.,1,1,3,88,#REF!,,1,1,1,1,1,1,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150002,.,0,Non-local ,非本地,.,.,Saii Moonji Cultural Institute,(請參閱英文版),,,777,777,Others,其他,Electronic Art,電子藝術," KLEX program ""Home Portrait"" at 2014 KOSMA International Film Festival ",.,n.a,n.a,n.a,15/07/2014,16/07/2014,2014,7,0,Saii Moonji Cultural Institute,Saii Moonji Cultural Institute,.,.,.,.,Phoebe Man,文晶瑩,"Phoebe Man's videos ""Home Sweet Home"" was shown in KLEX program ""Home Portrait"" at 2014 KOSMA International Film Festival",「家宅平安」在首爾Kosma 國際電影節中的吉隆坡實驗電影及錄像節節目「Home Portrait」中放映,1,777,777,77,#REF!,8,0,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,14150003,.,0,Local,本地,.,.,The Gallery of Hong Kong Art School (10/F of Hong Kong Arts Centre),香港藝術學院藝廊（香港藝術中心十樓）,,,HKAC,Hong Kong Art School-Gallery,Mixed Art-Forms,綜合展,88,88," Seeking pleasures, Boosting ambition",玩物養志,n.a,n.a,n.a,06/11/2014,19/11/2014,2014,11,0,The Gallery of Hong Kong Art School,香港藝術學院藝廊,.,.,.,.,"Chan Wai Wah, Chung Ho-yuen, Fong Tsz-leong, Lau Chun-kit, Law Hoi-lok, Liu Siu-him, Clement Tse Ming-shing, Joe Wong Nai-yuen, Yiu Chun-wa",陳偉華、鍾浩元、方梓亮、劉峻傑、羅凱樂、廖肇謙、謝銘晟、黃迺元、姚俊華,"Nine students graduated from different programmes of Hong Kong Art School, pay their tribute to toys through their artworks. It has been told that “riding a hobby saps one's will to make progress”, however, nowadays, a group of “Kidult”, which refers to adults having their curiosity and playfulness remained intact, has become the pioneers in filling the generation gap between pragmatic adults and innocent kids. ",由九個香港藝術學院不同課程畢業的學生，展出以「玩具與人的微妙關係」為主題的藝術作品。在現今世代，玩具不一定是喪志的，一班童心未泯的成年人，亦即「KIDULT」，持守玩賞者的執著，成為了成年人的務實與小孩子天真爛漫間的鴻溝。,1,1,4,88,#REF!,,1,1,1,1,1,1,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150004,.,0,Local,本地,.,.,"L5, Exhibition Hall, vA!",香港視覺藝術中心五樓展覽廳,,,VA,Hong Kong Visual Art Centre Exhibition Hall,Painting,繪畫,88,88, UNDER ONE HEAVEN,同一天空下,n.a,n.a,n.a,29/10/2014,03/11/2014,2014,10,0,.,.,.,.,.,.,"Local artists, Susan Ko and Miss Lai-fun Li are joined by visiting British
artist, Jane Rhodes",英國藝術家 Jane Rhodes 與香港畫家李麗芬和高冠雲,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150005,.,0,Local ,本地,.,.,"Hong Kong City Hall Exhibition Gallery,Low Block, Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場大會堂低座香港大會堂展覽館,,,PA,City Hall Exhibition Gallery,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,88,88,"""17th World Chinese Arts Competition Hong Kong Art Exhibition""",第17屆世界華人藝術大會香港大型藝術展,n.a,n.a,n.a,14/01/2015,15/01/2015,2015,1,0,World Chinese Group,世界華人集團,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150006,.,0,Local,本地,.,.,"Umbrella Plaza, Admiralty",金鐘雨傘廣場,,,PUB,Umbrella Plaza,Mixed Media and Installation,混合媒介及裝置,88,88,"""Birthday Cakes""","文晶瑩, ""生日蛋糕""",n.a,n.a,n.a,11/12/2014,11/12/2014,2014,12,0,.,.,.,.,Phoebe Man,文晶瑩,Phoebe Man,文晶瑩,"Birthday song comes with birthday cake. When the protesters of Umbrella movement faced some unreasonable complaints and insults by some people, they would sing birthday song in return, resolving the grievances to blessing. Instead of celebratory phrases, on the work ""Birthday Cakes"" are the statements that caused controversy, for examples, ""The Sino-British Joint Declaration is void."" ""Hong Kong is China's direct -controlled municipality."" Is this a blessing or a curse? Delicious or hard to eat? Real cakes were served as a form of performance in the exhibition. To eat can mean digest and agree with something or disagree with something and eat it with anger. It is up to the audience on how to eat the cakes. ",有生日歌，自然有生日蛋糕。雨傘運動的示威者面對反佔中的投訴及辱罵，有時會以祝福的形式唱生日歌回應，化解怨氣。生日蛋糕上通常是祝福的語句，作品《生日蛋糕》把引起港人激烈反應的語句放上生日蛋糕，例如：「中英聯合聲明失效」；「香港是中國的直轄市」；這是祝福還是詛咒？吃得津津有味還是吃不下？硬食還是廢食？作品製成實體蛋糕，由觀眾決定怎樣吃與不吃。,1,1,7,88,#REF!,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor
1415,14150007,.,0,Local,本地,.,.,"Above Second
9 First Street, Sai Ying Pun, Hong Kong","無二畫廊
香港西營盤第一街9號",,,GAL,Above Second Gallery,Others,其他,Painting,繪畫,"""Capital Games"" by Alec Monopoly",.,n.a,n.a,n.a,28/02/2015,18/04/2015,2015,2,0,Above Second Gallery,Above Second Gallery,.,.,.,.,Alec Monopoly,.,.,.,1,1,6,88,#REF!,#REF!,0,1,1,1,1,1,50,32,,,,,,,,,,,,,,,,,,,,,,,,,Revised start month,at First St new address https://www.facebook.com/events/above-second/capital-games-new-works-by-alec-monopoly-la/1591159434458766/,,indoor
1415,14150008,.,0,Local,本地,.,.,"L1 Gallery, Jockey Club Creative Arts Centre, 30 Pak Tin Street, Shek Kip Mei, Kowloon, Hong Kong",香港九龍石硤尾白田街30號 賽馬會創意藝術中心L1藝廊,,,JCCAC,L1 Gallery,Painting,繪畫,88,88,.,"""Come And Go 人來人往""  黃義德個人油畫展",n.a,n.a,n.a,02/05/2014,11/05/2014,2014,5,0,Herman Wong,黃義德,.,.,.,.,.,.,.,.,1,1,4,6,#REF!,,0,1,1,1,1,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150009,.,0,Local,本地,.,.,"agnès b.’s LIBRAIRIE GALERIE, G/F, 118 Hollywood Road, Central, HK",.,,,BUSS,agnès b.'s Librairie Galerie,Photography,攝影,88,88,"""DANCE"" PHOTOGRAPHY EXHIBITION CURATED BY EUGENIA GRANDCHAMP DES RAUX",.,n.a,n.a,n.a,13/03/2015,29/08/2015,2015,3,0,agnès b.’s LIBRAIRIE GALERIE,agnès b.’s LIBRAIRIE GALERIE,.,.,.,.,Eugenia Grandchamp,.,"agnès b.s’ LIBRAIRIE GALERIE is delighted to present DANCE, a solo photography exhibition by the French artist, Eugenia Grandchamp des Raux. A series of photographs that captures the ballet dancers of the Opéra de Paris in the Monde-Flou (World of blur) is being shown in the exhibition to express the artist’s great passion for dance. “World of blur” is the continuation of movement, the representation of vibration and even a part of life. The photographs reflect her deep desire to restore the snapshots of still images to movement and share the dreams behind.",.,1,1,3,88,#REF!,,0,1,1,1,1,1,170,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,14150010,.,0,Non-local ,非本地,.,.,"Taipei Peeling Laos , Hualien Railway Cultural Park",(請參閱英文版),,,777,777,Others,其他,Electronic Art,電子藝術,"""Embrace True Heart - Taiwanese ""Comfort Women"" Grandma's Life Story Exhibition",擁抱真心--臺灣「慰安婦」阿嬤的生命故事特展】,n.a,n.a,n.a,25/11/2014,21/12/2014,2014,11,0,.,.,.,.,.,.,Phoebe Man,文晶瑩,"Public Art ""One Person One Heart"" was shown in the exhibition ""Embrace True Heart - Taiwanese ""Comfort Women"" Grandma's Life Story Exhibition] @ Taipei Peeling Laos (2014/11/25 - 2014/12/10) and Hualien Railway Cultural Park (2014/12/13-21).",公共藝術「一人一心」在台北剝皮寮【擁抱真心--臺灣「慰安婦」阿嬤的生命故事特展】中展出。(2014/11/25 至 2014/12/10) 展覽後再到花蓮鐵道文化園區展出。 (2014/12/13-21),1,777,777,77,#REF!,8,0,1,1,1,1,1,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
