ID,節目名稱,Programme Name,舞蹈類別,Category,節目類型,Type,節目類型2,Type2,活動性質,Nature,節目簡介,About the Programme,首演日期,Init Date,日期,Date,地點,Venue,Venue_Date_Price (grouped for those with more than 1 venue),場數,Number of Performance,主辦單位,Presenter,製作/演出單位,Production / Performing Unit,演出/製作,Cast and Production,票價,Ticket Price,演出/參加人數,Number of dancers / participants,觀眾人數,Number of Audience,得獎名單 (比賽),Awardee List,時間長度,Programme Duration,藝術總監,Name of Artistic Director,編舞,Choreographers,舞評記錄,Reviews Record,相關節目,Related Programme,多媒體,Multi-Media,場刊,Special Issue,其他,Others,更新日期 (YYYY-mm-dd),Last Update (YYYY-mm-dd),Count (y/n),藝術類別_ArtForm,子分類_ArtGenre SubCategory,本地非本地_Local_Overseas,過去海外演出  Past shows at overseas,Link to be shown on web,Additional Link,Remarks,系列類型_Event Type TC,系列類型_Event Type EN,系列filter_1_TC,系列filter_1_EN,系列filter_2_TC,系列filter_2_EN,系列全稱_Event Full Name TC,系列全稱_Event Full Name EN,indoor/outdoor/both,start_date,end_date,low_price,high_price,venue.1,venue_en,teacher_student
3-1,夢飛翔,When you dream，You can fly,民族舞,Other,演出,Performance,演出2,Performance 2,演出,Performance,上半場以不同地方及不同種類的舞蹈為主。如有羅馬尼拉舞、夏威夷舞、中國民間民族（朝鮮族、維吾爾族及彝族等）、現代舞等。下半場的舞劇是以新編童話故事[賣火柴的女孩]為藍本，透過女孩的際遇，告訴大家遇到困難不要害怕;只要有希望，堅定自己的意志，推開心中的那堵牆，就可感受世界多美好，未來是充滿希望的。,-,12/24/09,2009-12-24,2009/12/24-25,2009/12/24-25,上環文娛中心劇院,Sheung Wan Civic Centre Theatre,,2,2,碧華舞蹈團,Alan & Becky Dance Group,碧華舞蹈團,Alan & Becky Dance Group,,,$120,$120,55,55,885,885,-,-,2小時,2hrs,劉碧琪,LAU Pik Ki,劉碧琪,LAU Pik Ki,,,,,,,,,,,0000-00-00,0000-00-00,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-12-24,2009-12-25,120,,"上環文娛中心劇院
","Sheung Wan Civic Centre, Theatre
",
3-2,遊蕩於人生風景,Wander—A Human Landscape,現代舞(共融/社區舞蹈),Modern Dance(Inclusive/Community Dance),演出,Performance,,,演出,Performance,繼《行行重行行音樂旅程》及《絲綢之路 1 之飛蛾舞會》後，亞洲民眾戲劇節協會再一次帶來英港共融社區藝術計劃－《遊蕩於人生風景》！演出溶合了舞蹈和影像，探索當下改變的身體，它的起伏曲線、結構、節奏和建築。表演者與觀眾都踏上一個「人的旅程」，釋放他們的感覺，刺激他們的幻想。來自英國 Shrewsbury 的藍眼晴靈魂舞團透過現代舞和接觸即興的媒介，讓傷健人士走在一起表達創意。,"Following The Long Walk and The Moth Ball, the Asian People's Theatre Festival Society brings you yet another collaboration between Hong Kong and the best community artists from the United Kingdom,  the famous inclusive dance group, Blue Eyed Soul in Wander-A human landscape.  Blue Eyed Soul Dance Company works with the disabled and abled people through the medium of contemporary dance and contact improvisation. Wander--A Human Landscape fuses dance and video to explore the ever-changing scenery of the body, its contours, structure, rhythms and architecture, inviting both performer and audience to travel on a human journey which will awake the senses and stimulate the imagination.",12/18/09,2009-12-18,2009/12/18-19,2009/12/18-19,賽馬會創意藝術中心黑盒劇場,"Black Box Theatre, JCCAC",,3,3,亞洲民眾戲劇節協會,Asian People’s Theatre Festival Society,-,-,,,"$150, $100","$150, $100",15,15,200,200,-,-,1小時,1hr,Rachel Freeman,Rachel Freeman,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-12-18,2009-12-19,100,150,"賽馬會創意藝術中心黑盒劇場
","Jockey Club Creative Arts Centre, Black Box Theatre
",
3-3,絲綢之路 1 - 飛蛾舞會,Silk Road 1 - Moth Ball,現代舞(共融/社區舞蹈),Modern Dance(Inclusive/Community Dance),演出,Performance,,,演出,Performance,亞洲民眾戲劇節協會與英國 Mind the Gap 聯合製作。英國著名劇團Mind the Gap的Tim Wheeler(導演) 和 Jez Colburne (歌手/演員)於零九年五月來港與陳美心、丸仔、莫昭如、李雅瑜、吳文基及許多傷健舞者一起排練及創作。又一個跨文化的互動、熱切的演出、激情的派對、繞樑三日的歌聲、蠶的故事、繭的故事、飛蛾的故事、人的故事、一個工廠、一個現代絲綢之路的故事…給你一段精神肉體都滿足的神奇之旅！,"Tim Wheeler(director) and Jez Colburne(singer/actor) from Mind-the-Gap(UK) collaborate with Hong Kong artists including Mandy Chen, yuenjie, Mok Chiu Yu and people with or without disabilities to create a show, full of music, dance, drama, poem and installation... A magical experience for both your body and mind!",5/21/09,2009-05-21,2009/05/21-22,2009/05/21-22,賽馬會創意藝術中心,Jockey Club Creative Arts Centre,,2,2,亞洲民眾戲劇節協會,Asian People’s Theatre Festival Society,-,-,,,"$150, $100","$150, $100",10,10,220,220,-,-,1小時,1hr,莫昭如,Augustine MOK,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-05-21,2009-05-22,100,150,"賽馬會創意藝術中心
","Jockey Club Creative Arts Centre
",
3-5,《港菲民眾文化戲劇節》演出,Hong Kong-Pinoy Theater Festival,民族舞,Ethnic,演出,Performance,,,文化交流,Culture Exchange,《港菲民眾文化戲劇節》將讓居港菲律賓人和本地華人互動交流，透過遊戲及各種創意藝術活動互相了解，提倡平等、和諧及共融社會。此計劃提供一個平台讓大眾和少數族裔聆聽大家的聲音，讓整個社區可體現多元文化及增權。《港菲民眾文化戲劇節》前亦舉行了一連串的工作坊，讓參與者體驗到精彩的菲律賓民俗藝術訓練包括Pangalay 舞蹈工作坊、Poi火球舞工作坊及皮影戲工作坊,"Filipino artist Marie Gold Villar is invited to stay in Hong Kong for one month, bringing Filipino Migrants and Local Chinese People together through Integrated Theatre Arts activities in the pursuit of a collective understanding, promoting equality and harmony between Filipinos, Hong Kongers and citizens of the world. There are three nine-hour workshops which will provide trainings of very exciting Filipino folk arts, integrating Hong Kong with world’s other folk arts and cultures.  The workshops include Pangalay workshop, Poi Dance workshop and Shadow Puppetry  workshop.",1/3/10,2010-01-03,2010/01/03,2010/01/03,香港灣仔香港藝術中心麥高利小劇場,Hong Kong Arts Centre McAulay Studio,,2,2,亞洲民眾戲劇節協會,Asian People’s Theatre Festival Society,-,-,,,免費,FREE,-,-,200,200,-,-,1小時30分鐘,1hr&30mins,莫昭如,MOK Chiu Yu,,,,,,,,,,,,,,,y,舞蹈、戲劇,東方舞、菲律賓民俗舞、火球舞、皮影戲、跨媒體藝術,本地製作,,,,,.,.,.,.,.,.,.,.,indoor,2010-01-03,,免費,,"香港藝術中心麥高利小劇場
","Hong Kong Arts Centre, McAulay Studio
",
3-433,《愛麗絲夢遊仙境》- 幕後追蹤出奇兔,Alice in Wonderland - Behind the Scenes - Follow the White Rabbit,,,演出,Performance,,,演出,Performance,,,3/6/09,2009-03-06,2009/03/06,2009/03/06,香港文化中心大劇院後台,Hong Kong Cultural Centre Grand Theatre Backstage,,1,1,香港藝術節協會有限公司,Hong Kong Arts Festival Society Limited,英國國家芭蕾舞團,English National Ballet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-03-06,,免費,,"香港文化中心大劇院後台
","Hong Kong Cultural Centre, Grand Theatre Backstage
",
3-6,希望與榮譽舞蹈演出,Hope and Glory Performance,現代舞(共融/社區舞蹈),Modern Dance(Inclusive/Community Dance),演出,Performance,,,演出,Performance,HOPE & GLORY是一個很大的多媒體展覽。它被稱為一個[概念的馬戲班]，參觀時除了令你回憶看馬戲的經驗，你會得到各種的觀感刺激。共生舞蹈團成員將經驗展覽後，由藝術總監丸仔協助下進行創作回應，並為當天的研討會揭開序幕。,"HOPE & GLORY multi-media installation by SIMON BIRCH is a “Conceptual Circus” that gives one multi-sensory experiences. Members of the Symbiotic Dance Troupe of the CCCD, led by artistic director, yuenjie, will be visiting the exhibition during the day, immersing in multi-cellular structure and then improvise in response, and will be performing in the same evening (at 7.15pm) as the opening for the HOPE & GLORY forum.",5/7/10,2010-05-07,2010/05/07,2010/05/07,香港鰂魚涌港島東太古坊康和大廈1樓,"Taikoo Place, Island East, Hong Kong",,1,1,社區文化發展中心,Centre for Community Cultural Development,-,-,,,免費,Free,15,15,50,50,-,-,30分鐘,30mins,丸仔,yuenjie(MARU),,,,,,,,,,,,,,,y,舞蹈,現代舞／當代舞、多媒體裝置,本地製作,,,,,.,.,.,.,.,.,.,.,both,2010-05-07,,免費,,"香港鰂魚涌港島東太古坊康和大廈1樓
","Taikoo Place, Island East, Hong Kong
",
3-8,第二屆廣東舞蹈夏令營《舞蹈與社會》研討會閉幕演出《我是﹒我有﹒我夢》,"The 2nd Guangdong Summer Dance Camp, Dance Symposium – Dance In Community  Closing Performance, I am, I have, I dream!",現代舞(共融/社區舞蹈),Modern Dance(Inclusive/Community Dance),演出,Performance,,,演出,Performance,社區文化發展中心及亞洲民眾戲劇節協會蒙香港藝術發展局及亞洲文化協會支持和協助，邀請Alito Alessi 於2006年4月來香港，進行「Danceability社區舞蹈﹕舞出傷健新紀元」計劃，Alito 在香港留駐期間主持了接觸即興和舞動多元工作坊，並與近60位包括肢陴、智障、聽障及四肢健全的不同能力舞者，排演了《舞出傷健新紀元》的演出。,"Supported by the Hong Kong Arts Developement Council and Asian Cultural Council in 2008, Centre for Community Development and Asian People’s Theatre Festival Society had jointly organized the DanceAbility Community Dance Project. It involoved over 60 dancers with different abilities. ",7/24/09,2009-07-24,2009/07/24,2009/07/24,廣東現代舞團小劇場,Guangdong Modern Dance Company Small Theatre,,1,1,社區文化發展中心,Centre for Community Cultural Developement,-,-,,,免費,FREE,34,34,-,-,-,-,1小時,1hr,-,-,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-07-24,,免費,,"廣東現代舞團小劇場
","Guangdong Modern Dance Company Small Theatre
",
3-11,意識流的個人獨舞,Ulysses Bloom By Maxime Iannarelli,現代舞,Modern Dance,演出,Performance,,,演出,Performance,Maxime 的創作靈感來自 Ulysses、Leopold Bloom、James Joyce。James Joyce用意識流的技巧寫主角 Leopold Bloom在1904年6月16日那一天，在Dublin的旅程，可算是無盡的意識流…不由理性邏輯支配…像墮進夢裡思維。Maxime的編舞，也用上意識流。他的舞就叫Ulysses Bloom – 充滿詩意，在嬉戲簡約的空間，舞者的身體放射不同的情緒…不止的流動和轉化，輕巧而匯聚能量…。Maxime除獨舞外，還將與香港舞者和音樂師即興演出。Ulysses Bloom曾在法國、西班牙及斯洛凡尼亞演出，香港活動後將前赴臺灣參與當地藝術節。,"Maxime's inspiration came from Ulysses, Leopold Bloom, James Joyce. James Joyce used the technique of stream of consciousness to describe the journey undertaken by the protagonist Leopold Bloom on 16th June 1904 in the city of Dublin.  It was a journey not subordinated to rational logic; it was a journey of stream of consciousness with logic in a dream.  Maxime choreographed his dance piece utilizing the stream of consciousness approach and his dance is called Ulysses Bloom – extremely poetic with the body of the dance in a playful simple space, radiating with emotions...endless flows and transformation and full of energy. Apart from his solo dance, he would jam with Y Space's Victor and Mandy accompanied by Nelson Hiu, one of the most like musician who plays improvisation music.  After his gig in Hong Kong, Maxime will perform in a Festival in Taiwan.  Ulysses Bloom has been staged in France, Spain and Slovenia.",10/12/09,2009-10-12,2009/10/12,2009/10/12,多空間 - Y 劇場,Y-Space Theatre Y,,1,1,社區文化發展中心、多空間,Organized by Centre for Community Cultural Development & Y-Space,-,-,,,$100,$100,3,3,50,50,-,-,1小時,1hr,-,-,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-10-12,,100,,"多空間Y劇場
","Y-Space, Theatre Y
",
3-13,玩具夢幻城,Le Magasin De Jouets,芭蕾舞,Ballet,演出,Performance,,,演出,Performance,"本故事是以受小朋友歡迎的玩具店為背景提材, 這間玩具店日間只是一間普通的玩具店,所有不同種類的洋娃娃整齊地放在廚窗及貨架上, 但一到晚上玩具店關了門後, 所有在廚窗及貨架上的洋娃娃都變成了有生命的娃娃, 在玩具店裡跳起舞來. 在表演中, 學生扮演著不同種類的洋娃娃, 表現出每種娃娃特色的舞步, 例如有可愛善良的白兔娃娃, 舞姿優雅的芭蕾舞娃娃, 來自東方的中國娃娃, 活潑的旋轉陀螺娃娃, 一群浩浩蕩蕩的斑馬娃娃, 大小朋友都喜歡的美妮老鼠娃娃,漂亮的仙子娃娃, 以及來自西方意大利的搖鼓舞娃娃, 當一到黎明的時候, 這群可愛的娃娃會返回廚窗及貨架, 迎接新一天的來臨.  表演下半部, 有俄羅斯舞,,胡桃鉗子 “La Valse”, “Rendevous of Angels”,等以足尖舞步為主的表演外, 還有爵士舞, 踢躂舞, 以及由本校校長鍾金寶編排的”Celebration” 為這次表演畫上完美的句號.  ","Le Magasin De Jouets, is a popular mega toys shop in the town, various kinds of the dolls is placed in the display window and the rack in tidy during the day time. But, when the shop is closed and the lights are off, all the dolls are get up and they dance all round the shop.  The students act in various kind of doll, e.g. Adorable rabbits, elegance ballerina dolls,  Chinese dolls, funny spinning tops dolls, zebra dolls, cutie minnie mouse dolls, beautiful fairy princess dolls & Italian tarantella dolls.  They dance all night and they return to the rack & display window before the dawn is come.  The second half of the performance, we have present Russian dance, Party Girls from “The Nutcracker”, Tap, Jazz and mainly on pointe work in “La Valse”, “Rendevous of Angels”, and Joan’s choreography in “Celebration”",3/16/09,2009-03-16,2009/03/16-17,2009/03/16-17,上環文娛中心劇院,Sheung Wan Civic Centre Theatre,,2,2,嘉露貝雯芭蕾舞學校 及倫敦芭蕾舞學校,Carol Bateman School of Dancing & London School of Ballet,嘉露貝雯芭蕾舞學校 及倫敦芭蕾舞學校,Carol Bateman School of Dancing & London School of Ballet,,,$230 /$200 /$180,$230 /$200 /$180,200-250,200-250,250,250,-,-,1小時45分鐘,1hr&45mins,鍾金寶,Joan CAMPBELL,,,,,,,,,,,,,,,n,.,.,.,,,,2009 data,.,.,.,.,.,.,.,.,indoor,2009-03-16,2009-03-17,230,,"上環文娛中心劇院
","Sheung Wan Civic Centre, Theatre
",
3-14,The Painter across the Earth,The Painter across the Earth,芭蕾舞,Ballet,演出,Performance,,,演出,Performance,"一個畫家為了找畫畫的創靈感, 於是, 他決定四處遊歷, 在萬無目的旅程中, 他看到大自然種種不同的景象, 令他找到新的靈感, 畫了一幅漂亮得像真實大自然的作品.  畫中 所有景象栩栩如生, 如尉藍色的睛天, 白雲,漂亮的蝴蝶, 寧靜的河流, 天鵝, 活躍的小馬,色彩鮮艷的鮮花, 及不同的人和事物.  , 學生扮演著不同角色, 將這幅圖畫帶進舞台.","The painter  across the earth to seeking for the inspiration for his painting, he see many difference natural scene, like Sunshine,  Clouds in the sky, Butterflies, Flowers, Swans, River, energetic Ponies in the grass, children dance with balloons, baskets, ribbons & hats.  The scenes inspired him to  paint a beautiful painting finally.  The students act in difference character in the performance.  Sunshine, clouds, butterflies, flowers, swans, river, ponies, children dance with balloons, baskets, hats and ribbons , students dance like bring the real painting on the stage, and they performed very impressive to the audience.",6/13/10,2010-06-13,2010/06/13,2010/06/13,中環花園道35號梅夫人婦女會會所,"The Helena May, 35 Garden Road, Hong Kong",,2,2,嘉露貝雯芭蕾舞學校 及倫敦芭蕾舞學校,Carol Bateman School of Dancing & London School of Ballet,嘉露貝雯芭蕾舞學校 及倫敦芭蕾舞學校,Carol Bateman School of Dancing & London School of Ballet,,,$150,$150,200,200,300-350,300-350,-,-,1小時30分鐘,1hr&30mins,鍾金寶,Joan CAMPBELL,,,,,,,,,,,,,,,y,舞蹈,芭蕾舞,本地製作,,,,,.,.,.,.,.,.,.,.,indoor,2010-06-13,,150,,"中環花園道35號梅夫人婦女會會所
","The Helena May, 35 Garden Road, Hong Kong
",
