title,organization/people
碧華舞蹈團,Organization
亞洲民眾戲劇節協會,Organization
香港藝術節協會有限公司,Organization
英國國家芭蕾舞團,Organization
社區文化發展中心,Organization
多空間,
嘉露貝雯芭蕾舞學校 及倫敦芭蕾舞學校,Organization
CCDC舞蹈中心,Organization
CCDC舞蹈中心及康樂及文化事務署,Organization
CCDC舞蹈中心 及 康樂及文化事務署,Organization
CCDC 舞蹈中心,Organization
CCDC舞蹈中心及香港舞蹈聯盟,Organization
香港舞蹈發展基金有限公司,Organization
毛妹芭蕾舞學校,Organization
康樂及文化事務署,
動藝,
國立臺北藝術大學,Organization
培藝芭蕾舞學校,Organization
香港兒童合唱團,Organization
香港青年藝術協會,Organization
香港舞蹈聯會,Organization
Ivy’s Ballet Company,
鍾詠賢芭蕾舞學校,Organization
韵情舞集,
雙妹嘜舞蹈劇場,Organization
廣東現代舞團,Organization
國立臺北藝術大學 關渡藝術節,Organization
奧沙畫廊 及 why-me-dance production,Organization
R & T (Rhythm & Tempo),
羅逸雅芭蕾舞爵士舞學校,Organization
宋楠,
尚賢芭蕾舞學院,Organization
不加鎖舞踊館,
不加鎖舞踊館 ﹠明日藝術教育機構,
香港兒童舞蹈團,Organization
飛舞天下,
多空間& 社區文化發展中心,Organization
康文署 / 多空間,
何香凝美術館OCT當代藝術中心,
多空間 及 波蘭 Silesian 舞蹈劇場,Organization
Silesian Dance Theatre,
多空間」及Silesian Dance Theatre,
藝發局,Organization
多空間 & 不加鎖舞踊館 & 動藝,
聖雅各福群會,
香港文化中心,Organization
全藝歐洲民族舞蹈團,Organization
錢秀蓮舞蹈團,Organization
屯門文藝協進會,Organization
屯門文藝協進會 - 屯門舞蹈團,Organization
米雪爾舞藝坊,
盈楓舞蹈團,Organization
Christian Dance Federation Malaysia Bhd,
香港東南亞舞蹈團,Organization
康樂及文化事務署 - 社區文化大使計劃,Organization
香港展能藝術會,Organization
紫蝶芭蕾舞及音樂學院,Organization
愛心傳送,
香港迪士尼,Organization
IIM,
香港書展2009,Organization
香港演藝學院,Organization
演藝舞蹈團,Organization
李思颺,
王丹琦,
屯門區議會,Organization
妙思舞動,
城市當代舞蹈團,Organization
香港舞蹈團-外展及教育部,Organization
香港舞蹈團,Organization
香港舞蹈團及荃灣區議會,Organization
舞合劇場,Organization
南韓釜山國際舞蹈節,Organization
廣東星海演藝集團,Organization
國家大劇院小劇場,Organization
北京雷動天下現代舞團,Organization
香港舞蹈總會,Organization
2009東亞運動會有限公司,Organization
香港電視廣播有限公司,Organization
香港舞蹈總會及民政事務總署-青少年暑期活動委員會,Organization
荃灣藝術節統籌委員會,
仁濟醫院,Organization
荃灣民政事務處,
民政事務局,Organization
康樂及文化事務署 及 香港芭蕾舞團,Organization
香港芭蕾舞團教育及外展部,Organization
香港舞蹈聯盟,Organization
香港舞蹈聯盟及香港演藝學院,Organization
姚蕙蕓,
鈐木幸夫,
金男珍,
黃大徽,
生活舞蹈工作室/ 文慧,Organization
積高．斯以普,
艾甘．漢及茱麗葉．庇洛仙,
柏歷加芭蕾舞團,Organization
Pierre Rigal Compagnie derni ˉere minute,
EOLIPILE and ZAHRBAT dance companies,
The Accrorap Dance Company,
中國國家芭蕾舞團,Organization
愛雅．索拉舞團,Organization
星榆舞蹈團,Organization
異色舞動,
東邊舞蹈團,Organization
新約舞流,
新舞臺,
謝漢文,
郭偉傑,
梁美嘉,
張熙傑,
教育局及香港學界舞蹈協會,Organization
香港芭蕾舞團,Organization
澳門文化中心,
荷蘭國家芭蕾舞團,Organization
川口隆一,
今泉浩一,
曲嘉男,
艾曼紐爾．甫安,
露絲．古連舞團,Organization
不加鎖舞踴館,
陳敏兒,
Otávio Bastos,
Shaun Irons and Lauren Petty @ Chocolate Factory,
香港小交響樂團,Organization
第四屆跳格國際舞蹈錄像節,Organization
山西藝術職業學院華晉舞劇團,Organization
四川省歌舞劇院,Organization
Cody\'s Moving Group,
劉玉華,
黃靜婷,
烏克蘭基輔芭蕾舞團,Organization
陳頌瑛,
羅馬尼亞民族歌舞團,Organization
動地探戈舞蹈團,Organization
梅卓燕,
韓國國立舞踊團,Organization
蔥動派創作間,
雲南省迪慶藏族自治民族歌舞團,Organization
貴州省歌舞團,Organization
香港芭蕾學會,Organization
韓嘉政+ 林建洪@ 離地三匠,
楊麗萍與雲南映象歌舞團,Organization
鍾晶,
雲門舞集,
ＯＯ合,
標局,Organization
雲海藝術團與武漢市藝術學校,Organization
新西班牙佛蘭明哥舞蹈團,Organization
李思颺+ 王丹琦@Neo Dance HK,
曹寶蓮,
香港藝術發展局,Organization
熱動星團,Organization
陝西省歌舞劇院,Organization
格魯吉亞國家舞蹈團,Organization
沈偉舞蹈藝術,Organization
英國北部芭蕾舞團,Organization
出奇舞,
香港舞台設計有限公司,Organization
黃靜婷舞蹈劇場,Organization
北京雷動天下現代舞蹈團,Organization
廣東星海現代舞蹈藝術有限公司,Organization
香港駐美國經濟貿易辦事處,Organization
北京雷動天下現代舞團及中國國家芭蕾舞團,Organization
中華人民共和國文化部及意大利羅馬音樂基金,
廣東星海演藝集團及城市當代舞蹈團,Organization
Incontri Internazionali di Rovereto Association,
香港舞蹈團及演戲家族,Organization
恒生銀行有限公司上海分行,Organization
香港駐上海經濟貿易辦事處,Organization
第八屆中國藝術節組委會外聯部,
杭州文化廣播電視集團,Organization
江蘇省委宣傳部,
北京文化藝術基金會,
廣東省文化廳,
中華人民共和國文化部,
國家廣播電影電視總局,Organization
北京市人民政府,
北京奧組委,
中山市文化藝術中心,
香港舞蹈聯會/荃灣民政事務處,Organization
